src_port,ground_truth,sampled,scaled
10143,1000,103,1030
10648,1000,99,990
10339,1000,90,900
10030,1000,97,970
10821,1000,80,800
10731,1000,112,1120
10017,1000,82,820
10052,1000,101,1010
10708,1000,85,850
10494,1000,101,1010
10072,1000,108,1080
10600,1000,102,1020
10699,1000,96,960
10553,1000,98,980
10935,1000,103,1030
10642,1000,107,1070
10222,1000,83,830
10367,1000,84,840
10542,1000,103,1030
10774,1000,92,920
10308,1000,101,1010
10230,1000,86,860
10382,1000,104,1040
10438,1000,99,990
10924,1000,93,930
10004,1000,97,970
10174,1000,84,840
10195,1000,103,1030
10466,1000,89,890
10581,1000,110,1100
10920,1000,99,990
10981,1000,115,1150
10242,1000,84,840
10331,1000,82,820
10737,1000,93,930
10439,1000,95,950
10583,1000,100,1000
10609,1000,97,970
10087,1000,100,1000
10292,1000,104,1040
10452,1000,108,1080
10453,1000,90,900
10660,1000,98,980
10763,1000,109,1090
10982,1000,103,1030
10049,1000,119,1190
10059,1000,101,1010
10105,1000,93,930
10482,1000,115,1150
10541,1000,80,800
10516,1000,100,1000
10689,1000,116,1160
10724,1000,94,940
10814,1000,78,780
10876,1000,93,930
10056,1000,97,970
10106,1000,85,850
10148,1000,100,1000
10261,1000,105,1050
10409,1000,106,1060
10423,1000,101,1010
10464,1000,102,1020
10568,1000,114,1140
10475,1000,105,1050
10577,1000,107,1070
10734,1000,92,920
10806,1000,71,710
10852,1000,90,900
10971,1000,102,1020
10132,1000,100,1000
10436,1000,95,950
10489,1000,103,1030
10533,1000,99,990
10667,1000,102,1020
10693,1000,107,1070
10065,1000,101,1010
10102,1000,112,1120
10284,1000,112,1120
10352,1000,114,1140
10460,1000,92,920
10488,1000,99,990
10544,1000,100,1000
10765,1000,84,840
10782,1000,104,1040
10785,1000,87,870
10831,1000,96,960
10974,1000,107,1070
10197,1000,105,1050
10336,1000,89,890
10527,1000,110,1100
10678,1000,103,1030
10107,1000,85,850
10152,1000,108,1080
10175,1000,98,980
10234,1000,100,1000
10404,1000,103,1030
10630,1000,109,1090
10669,1000,105,1050
10890,1000,94,940
10895,1000,96,960
10937,1000,102,1020
10942,1000,109,1090
10074,1000,104,1040
10113,1000,102,1020
10155,1000,93,930
10206,1000,92,920
10499,1000,102,1020
10588,1000,89,890
10772,1000,99,990
10902,1000,95,950
